"","(Intercept)"
"162",0.562729641346952
"163",0.491398863957461
"164",0.528957331348012
"165",0.437446653013197
"166",0.50162038759802
"167",0.524426923656653
"168",0.530339019926752
"169",0.487311896261728
"170",0.479114162358696
"171",0.46792003385294
"172",0.478090757781422
"173",0.529468815627641
"174",0.500031390689461
"175",0.453696650755978
"176",0.494635259827959
"177",0.474846942238866
"178",0.504190351509568
"179",0.467169117777815
"180",0.455556803983152
"181",0.510414151788953
"182",0.453599969437597
"183",0.506650018524359
"184",0.508779316558876
"185",0.543504081940401
"186",0.511364173219572
"187",0.475286085608839
"188",0.481777323789215
"189",0.529717748477947
"190",0.522882865271237
"191",0.489195263296957
"192",0.488557503640395
"193",0.504716340891036
"194",0.463100135627726
"195",0.488272004286544
"196",0.514284796704581
"197",0.509271495185697
"198",0.499134428907698
"199",0.520233475582833
"200",0.454769986416621
"201",0.499199236990697
"202",0.458550943013484
"203",0.504945026625232
"204",0.477302140104971
"205",0.498281793541534
"206",0.488337724675398
"207",0.512225036314476
"208",0.503342368641256
"209",0.45175790171039
"210",0.453498084232538
"211",0.48748525783011
"212",0.453914879777272
"213",0.513610526382497
"214",0.485962082280285
"215",0.467509375155126
"216",0.479247104330544
"217",0.482831143194425
"218",0.480782611500523
"219",0.572745163977729
"220",0.568190794718286
"221",0.525202526872857
"222",0.502109510301252
"223",0.461709831499823
"224",0.468551380574038
"225",0.517778872751465
"226",0.46428242072893
"227",0.474340688835606
"228",0.46832368463437
"229",0.483050713696381
"230",0.487069124719067
"231",0.475334244655569
"232",0.507378761795989
"233",0.450003860727816
"234",0.481813041419048
"235",0.497216098745276
"236",0.475393591214389
"237",0.458976513434516
"238",0.453582258770357
"239",0.468510977022989
"240",0.476147321595302
"241",0.434507464157932
"242",0.433671004726512
"243",0.475345530505337
"244",0.500489562172596
"245",0.473204065102282
"246",0.4853639092078
"247",0.50647529057811
"248",0.478884769373142
"249",0.479055964604417
"250",0.52933251249376
"251",0.489367333809369
"252",0.471071785444464
"253",0.50589032294219
"254",0.469355680249018
"255",0.544296613385366
"256",0.452346074756271
"257",0.465299450441372
"258",0.479104539222394
"259",0.512260793371392
"260",0.483401899036843
"261",0.441734845867879
"262",0.44586186336635
"263",0.498664323132177
"264",0.48611605877434
"265",0.471983202665856
"266",0.530189338827633
